fecha,ALQUILER $/MES,VARIACIÃ“N MENSUAL (%)
mar. 17,5809,3.72638930051368
abr. 17,5933,2.13183721070964
may. 17,6094,2.70983951192652
jun. 17,6208,1.8827187352426202
jul. 17,6256,0.764701631229991
ago. 17,6268,0.188486097213847
sep. 17,6363,1.52311978140738
oct. 17,6495,2.07592772312228
nov. 17,6610,1.76252625584568
dic. 17,6791,2.74375594451153
ene. 18,6852,0.896572481889368
feb. 18,6960,1.57499070891618
mar. 18,7329,5.3089093027213
abr. 18,7650,4.3713181870381295
may. 18,7749,1.29865827899145
jun. 18,7757,0.10096836036630501
jul. 18,7840,1.07641589788428
ago. 18,7984,1.8258866820320698
sep. 18,8003,0.24924206801335602
oct. 18,8163,1.9956683418663999
nov. 18,8361,2.42288116194629
dic. 18,8423,0.739597691297278
ene. 19,8534,1.3227013516897699
feb. 19,8750,2.52644667979065
mar. 19,8940,2.17266001645713
abr. 19,9022,0.9214947117192731
may. 19,9179,1.7393154215326299
jun. 19,9316,1.48959503324382
jul. 19,9446,1.3903721086509602
ago. 19,9698,2.67231896075952
sep. 19,9895,2.0346585485482303
oct. 19,10067,1.73184214865749
nov. 19,10276,2.0779815574546
dic. 19,10595,3.10651849701176
ene. 20,10975,3.58978684055344
feb. 20,11300,2.95313433481457
mar. 20,11656,3.1559739356257404
abr. 20,11847,1.63585295963369
may. 20,12072,1.9008773162527
jun. 20,12423,2.91012821006384
jul. 20,13510,8.74731538221423
ago. 20,14342,6.1573449896838595
sep. 20,14876,3.72756139881658
oct. 20,15327,3.02532930269559
nov. 20,15915,3.8375729585299596
dic. 20,16394,3.0120459215544
ene. 21,16779,2.34690012873693
feb. 21,17480,4.18201761196377
mar. 21,18420,5.37572808527635
abr. 21,19284,4.69143727754515
may. 21,20320,5.36993764606368
jun. 21,21329,4.96484279040261
jul. 21,22084,3.5413496201248
ago. 21,22746,2.9992871676971298
sep. 21,23525,3.42265517296758
oct. 21,24575,4.463336875664179
nov. 21,25708,4.60834181078331
dic. 21,26758,4.08441116405718
ene. 22,27875,4.176399140427909
feb. 22,29250,4.93273542600896
mar. 22,30725,5.04273504273505
abr. 22,31450,2.35964198535394
may. 22,33184,5.51351351351352
jun. 22,36859,11.0746142719383
jul. 22,40275,9.26775007460865
ago. 22,43450,7.883302296710131
sep. 22,46052,5.98858724929285
oct. 22,47501,3.1459251769970304
nov. 22,49008,3.17399282435984
dic. 22,51001,4.066069169734
ene. 23,53620,5.13472950061975
feb. 23,57448,7.138863639878499
mar. 23,61400,6.879519229373241
abr. 23,65656,6.930935996054701
may. 23,71072,8.25023321547711
jun. 23,76589,7.76233400830149
jul. 23,82330,7.495568581928549
ago. 23,91193,10.7647667839932
sep. 23,101855,11.692505854800899
oct. 23,114491,12.405759162303701
nov. 23,143917,25.701209150418503
dic. 23,176645,22.741362412022102
ene. 24,198445,12.3406306013666
feb. 24,211708,6.68368426599786
mar. 24,217869,2.9103396522003298
abr. 24,224089,2.85453389172177
may 24,231298,3.2171798719330202
jun 24,239167,3.4019762549240697
jul 24,246304,2.98444558852871
ago 24,257077,4.373850612090171
sep 24,270555,5.242493217443609
oct 24,284530,5.1655333552410605